,bbc sent,cbs sent,cnn sent,fox sent,nytimes sent
0,-0.34,-0.7003,0.5994,0.0,-0.0258
1,0.0,-0.6705,-0.126,0.0,0.3612
2,-0.4767,-0.7845,0.34,0.7269,0.0
3,-0.8074,-0.4767,-0.6908,-0.5267,0.0
4,-0.1027,0.0,0.0,-0.4019,0.0
5,0.0,-0.743,0.0,0.5994,0.0
6,0.4404,-0.4767,0.7003,0.4019,0.2263
7,0.5859,0.0,0.0,0.3612,-0.2529
8,0.0,0.0,-0.4588,-0.5719,0.0314
9,0.0,-0.4404,-0.6486,0.0,-0.4019
10,-0.0258,0.5267,-0.8934,0.5719,-0.4588
11,-0.6249,0.3612,-0.5574,0.0,0.128
12,0.0,0.0,0.0,-0.3863,0.0
13,0.1139,-0.0516,-0.4767,0.4019,0.3818
14,0.5719,-0.34,-0.0762,-0.6124,0.6486
15,-0.128,0.0,0.0,0.5719,0.0
16,-0.4019,0.0,-0.5423,0.0,0.4404
17,-0.6249,0.0,0.2187,0.0,-0.872
18,0.0,-0.296,0.4754,0.3612,0.5719
19,-0.1531,0.0,0.4215,-0.0258,0.5719
20,-0.34,-0.7003,0.5994,0.0,-0.0258
21,0.0,-0.6705,-0.126,0.0,0.3612
22,-0.4767,-0.7845,0.34,0.7269,0.0
23,-0.8074,-0.4767,-0.6908,-0.5267,0.0
24,-0.1027,0.0,0.0,-0.4019,0.0
25,0.0,-0.743,0.0,0.5994,0.0
26,0.4404,-0.4767,0.7003,0.4019,0.2263
27,0.5859,0.0,0.0,0.3612,-0.2529
28,0.0,0.0,-0.4588,-0.5719,0.0314
29,0.0,-0.4404,-0.6486,0.0,-0.4019
30,-0.0258,0.5267,-0.8934,0.5719,-0.4588
31,-0.6249,0.3612,-0.5574,0.0,0.128
32,0.0,0.0,0.0,-0.3863,0.0
33,0.1139,-0.0516,-0.4767,0.4019,0.3818
34,0.5719,-0.34,-0.0762,-0.6124,0.6486
35,-0.128,0.0,0.0,0.5719,0.0
36,-0.4019,0.0,-0.5423,0.0,0.4404
37,-0.6249,0.0,0.2187,0.0,-0.872
38,0.0,-0.296,0.4754,0.3612,0.5719
39,-0.1531,0.0,0.4215,-0.0258,0.5719
40,-0.5423,0.0,0.7096,0.0,0.0
41,0.0,0.0,-0.34,0.0,-0.2263
42,0.0,0.8271,0.1779,0.807,0.5994
43,0.0,0.0,0.5574,0.0,0.0
44,-0.6249,-0.9001,0.0,0.4588,0.0
45,-0.6908,0.0,0.0,0.6369,0.296
46,0.0,-0.1695,0.0,0.4215,0.25
47,0.4939,0.1027,0.25,0.0,0.6369
48,0.0,0.3612,0.0,0.2023,0.6249
49,0.0,0.5267,0.25,-0.7003,0.0
50,-0.2023,0.0,0.2263,0.0,0.0
51,-0.6597,0.0,-0.1779,0.7269,0.2023
52,-0.4767,0.0,-0.0516,-0.93,0.4215
53,-0.6697,0.0,0.0,-0.9287,0.0
54,-0.7096,-0.4767,0.0,0.0,-0.6705
55,-0.6486,0.6931,-0.6131,0.3742,0.3612
56,0.0,-0.6908,0.0,0.4939,-0.296
57,0.0,0.2023,0.0,0.3818,0.0
58,0.0,-0.7964,-0.5267,0.0,0.0
59,0.0,-0.4767,0.7269,0.743,0.128
60,0.0,0.4497,0.3612,-0.4973,0.9177
61,0.0,-0.2732,0.0,0.0,0.0
62,0.0531,0.0,-0.0258,-0.5267,0.2732
63,-0.7096,-0.875,0.5423,-0.2023,0.0
64,0.2263,0.0,0.0,-0.4404,0.4404
65,0.0,-0.4767,0.0,0.4588,-0.6486
66,0.0,-0.8225,0.0,0.0,-0.6463
67,0.0516,-0.765,-0.6486,0.1531,0.0
68,-0.5719,-0.8555,0.0,-0.7906,-0.1779
69,-0.296,-0.34,-0.5423,0.3818,0.6369
70,0.0,-0.296,0.0,-0.5606,0.7506
71,-0.6486,-0.296,0.4215,0.0,-0.4215
72,-0.5994,0.0,-0.7269,-0.3612,-0.4939
73,-0.4215,-0.5423,-0.34,-0.34,0.5574
74,0.4019,-0.6486,0.0,-0.6124,0.0
75,0.0,-0.2263,0.0,0.0,0.0
76,-0.8074,0.296,-0.4552,-0.2023,0.0
77,0.2023,-0.7269,0.2023,0.0772,0.0
78,-0.7717,-0.296,-0.1027,0.0,0.0772
79,0.0,0.7579,-0.296,-0.5859,0.1139
80,0.2415,0.0,0.7269,0.0,0.0
81,0.2732,0.0,-0.296,-0.3818,0.4754
82,-0.128,0.0,0.128,0.0,0.7096
83,-0.5994,-0.5267,-0.4404,-0.4404,0.0
84,0.0,-0.765,-0.34,-0.5267,0.4404
85,-0.2023,0.0,-0.5994,0.2732,-0.0258
86,0.0,0.0,0.5106,-0.34,0.0
87,0.0,-0.4939,-0.5574,0.3818,0.0
88,0.0,-0.5574,-0.5859,0.4939,-0.8603
89,0.0,0.0,0.34,0.7269,-0.1531
90,0.2732,0.0,0.0018,0.0,0.0
91,0.2732,0.5106,0.0,-0.2023,-0.6808
92,0.0,0.6801,-0.3612,-0.6486,0.0
93,0.3612,0.0,0.0,0.0,-0.1531
94,0.0,0.4404,-0.1027,-0.34,0.0
95,0.0,0.7269,0.1531,0.4939,-0.296
96,0.3612,0.7506,-0.4767,-0.2755,0.0
97,0.0,0.7351,0.0,-0.5606,0.0772
98,0.0,0.0,-0.3415,0.4404,0.0
99,0.0,0.0,-0.25,0.0258,0.0
